,Ссылка,Подразделение,РИНЦ Author ID,SPIN,Scopus Author ID,Researher ID,ORCID ID,Профиль автора в РИНЦ,Профиль автора в Scopus,Профиль автора в Publons,Профиль автора в ORCID,Профиль автора в ResearchGate,Профиль автора в Google Scholar
171,/ru/glossary/j/zhurov_gennadiy_nikolaevich,каф информатики и компьютерных технологий,323029,8080-3420,6504746645,AAE-1885-2019,0000-0002-6231-0309,https://elibrary.ru/author_items.asp?authorid=323029,https://www.scopus.com/authid/detail.uri?origin=AuthorProfile&authorId=6504746645&zone=,https://publons.com/researcher/AAE-1885-2019/,https://orcid.org/0000-0002-6231-0309,https://www.researchgate.net/profile/Gennadii_Zhurov,https://scholar.google.ru/citations?hl=ru&user=wtAjRRYAAAAJ
172,/ru/glossary/z/zagrivnyy_eduard_anatolevich,каф электроэнергетики и электромеханики,323822,Empty,55536998600,Empty,Empty,http://elibrary.ru/author_items.asp?authorid=323822,https://www.scopus.com/authid/detail.uri?origin=AuthorProfile&authorId=55536998600,Empty,Empty,Empty,Empty
173,/ru/glossary/z/zadkov_denis_aleksandrovich,каф машиностроения,323880,4200-8993,57118186900,3249570,0000-0002-1709-431,http://elibrary.ru/author_items.asp?authorid=323880,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57118186900,https://publons.com/researcher/3249570/denis-zadkov/,https://orcid.org/0000-0002-1709-431X,https://www.researchgate.net/profile/Denis_Zadkov,https://scholar.google.ru/citations?view_op=list_works&hl=ru&user=0hbcpB0AAAAJ
174,/ru/glossary/z/zaycev_aleksandr_valerevich,каф физического воспитания,900254,Empty,56230132300,3148807,0000-0001-6389-5073,http://elibrary.ru/author_profile.asp?authorid=900254,https://www.scopus.com/authid/detail.uri?authorId=56230132300,https://publons.com/researcher/3148807/alexander-zaytsev/,https://orcid.org/0000-0001-6389-5073,https://www.researchgate.net/profile/Aleksandr_Zajcev,https://scholar.google.ru/citations?hl=ru&view_op=list_works&gmla=AJsN-F5zuG71YnxzWOeJb5_GwFkk64aDLTC5INjy4MCMFesXm_iP3h6y3eZqMEqQzVicq0FwZh7Xjid1S_IhoUjgg5zP0HsUnBbupv8P0Ds33yOmJlotX9KD85epNk45CJsivOawJgCr&user=DqETCb8AAAAJ
175,/ru/glossary/z/zakirova_gulnur_sagdatovna,каф транспорта и хранения нефти и газа,1014012,Empty,Empty,Empty,Empty,https://elibrary.ru/author_profile.asp?authorid=1014012,Empty,Empty,Empty,Empty,Empty
176,/ru/glossary/z/zamyatin_egor_olegovich,каф общей электротехники,786957,9382-4772,57188825514,1710750,0000-0003-0315-7217,https://elibrary.ru/author_profile.asp?id=786957,https://www.scopus.com/authid/detail.uri?authorId=57188825514,https://publons.com/researcher/1710750/egor-zamyatin/,https://orcid.org/0000-0003-0315-7217,https://www.researchgate.net/profile/Egor_Zamyatin,https://scholar.google.com/citations?user=Q_-eXGgAAAAJ&hl=ru
177,/ru/glossary/z/zarodnyuk_galina_vladimirovna,каф физического воспитания,908653,Empty,56052406000,3149806,0000-0002-7929-3891,http://elibrary.ru/author_items.asp?authorid=908653,https://www.scopus.com/authid/detail.uri?authorId=56052406000,https://publons.com/researcher/3149806/galina-zarodnyuk/,https://orcid.org/0000-0002-7929-3891,https://www.researchgate.net/profile/Galina_Zarodnyuk,https://scholar.google.ru/citations?view_op=list_works&hl=ru&user=MbDkJV0AAAAJ
178,/ru/glossary/z/zacepin_mihail_aleksandrovich,каф высшей математики,552810,7283-3091,Empty,Empty,Empty,http://elibrary.ru/author_profile.asp?authorid=552810,Empty,Empty,Empty,Empty,Empty
179,/ru/glossary/z/zvonarev_ivan_evgenevich,каф машиностроения,746455,2971-5609,56674780300,E-7390-2014,0000-0002-9672-6505,https://elibrary.ru/author_items.asp?authorid=746455,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56674780300,http://www.researcherid.com/rid/E-7390-2014,http://orcid.org/0000-0002-9672-6505,https://www.researchgate.net/profile/Ivan_Zvonarev,https://scholar.google.ru/citations?hl=ru&user=BNFj7aMAAAAJ
180,/ru/glossary/z/zgonnik_pyotr_vladimirovich,каф общей химии,910709,Empty,6507727096,Empty,Empty,http://elibrary.ru/author_profile.asp?id=910709,https://www.scopus.com/authid/detail.uri?authorId=6507727096,Empty,Empty,Empty,Empty
